Unnamed: 0,youtube_id,comment,like_num
28,다2,"한별님의 스페인어 너무너무 사랑해요 ㅠㅠㅠ ❤️❤️ 한별님 덕에 스페인어 접하고 고등학교를 거쳐서 대학교도 스페인어 학과로 정하고 잘 배우고 있습니다,, 이런 중세풍 낭낭한 영상도 너무 좋아요 한별님 취향 너무 잘 느껴지고 새로운 느낌이라 재밌어요 ><😍😍",39개
29,HJKim,뭐야뭐야ㅜㅜㅜㅜㅜㅜㅜㅜㅜ 이런게 개좋아 진짜 와씨 미쳤어ㅜㅜㅜㅜㅜㅠㅜㅜㅜㅜㅜㅠㅜㅜㅜㅠㅜㅜㅜ 이런 빈티지컨셉으로 의상이나 메이크업 해주시면 안되나요ㅜㅜㅜㅜㅜ 저 시대 여자들 유행 메이크업이나 그런...,25개
30,이채린,한별님 스페인어할때 목소리 진짜 멋지네요ㅜㅜ❤️,35개
31,시험관성공vlog문샤in,로미오만나기 전날 스킨케어 준비하는 줄리엣 같아요 .. 이쁘댜 ❤,3개
32,쥬디홉스,"중세시대에 유투버가 있었다면 딱 이렇겠지..
덕분에 백투더퓨처 했어요 언니➰🖤",2개
33,김달떵,허류ㅠㅠㅠㅠㅠ이런컨셉을 뭐라하져ㅠㅠㅠ???너무 제취향인데ㅠㅠ언니 진짜 너무 멋있고 예쁘고 다해ㅠㅠ❤❤❤브금이며 필터며 스페인어며 인테리어까지 완벽 그자체ㅠㅠ😍😍😍,2개
34,o3o,내가 재생속도를 빠르게 해놨나 하고 확인하고 봤어요 ㅋㅋㅋㅋㅋ 스페인어 제대로 처음 들어봐서 그런지 한국말이랑 다르게 엄청 빠르게 느껴지네요!!!!,4개
35,다현,언니 재업 해주시느라 너무 수고하셨어용💜한별님의 영상은 항상 심심풀이로 보는 단순 비디오가 아니라 진짜 작품을 감상하는 기분 ㅠ ㅠ🥰🥰이번 영상은 처음 보는 자막 덕에 분위기도 뭔가 조용한 서양 영화 보면서 힐링하는 기분💜항상 감사해요 코로나 바이러스 이기는 행복 바이러스 전파 해주셔서💜💜,63개
36,율율,와 한별언니 진짜 저 이런 스타일 너무 좋아하는데ㅠㅠㅠㅠ 너무너무너무 취저 당해버렸어요ㅠㅠㅠ 썸네일만 보구 무슨 영화인줄 알았잖아요... 이대로 영화 처럼 시리즈 하나 내주시면 몇백번이고 돌려볼거같아유ㅠㅠㅠ 진짜 영상 만드느라 너무 고생하셨겠어요 다들! 영상 퀄리티부터 뭐 세심한거 하나하나까지 안좋은게 없습니다❤️❤️ 정말 너무영상미 좋아요!❤️ 앞으로도 이런 스타일로 영상더 찍어주세요! 그때까지 이거 다시 돌려볼께요😍,2개
37,태정태세비욘세,영상 느낌 뭔가 로마의 휴일같은 영화 그런 느낌이야 대박 너무 좋아 ㅠㅠㅠㅠㅠ,2개
38,우오우오,아니 고전영화아니냐구요..영상미 무엇입니까 넘 조아요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,6개
39,heerle,와우내 한별님이랑 디렉터님 고생한게 팍팍느껴져서 광고도 다 봤습니다. ( 제 나름 우쭈쭈 입니다. 광고로 돈쭐나세요),1개
40,백일몽,진짜 불끄고 잘준비 다하고 보고있는데 너무너무 힐링되는 느낌♡♡♡진짜 스페인 영화 보는 것 같아요 아 언니 사랑해♡♡♡♡♡♡♡♡♡♡,26개
41,체리요정,와미쳤다ㅜ 살짝 떨어지는 화질도 컨셉에 한몫하는듯ㅠㅠㅠㅠㅠ언니 이컨텐츠 찰떡이예요 진짜...,4개
42,파프리카,"헣ㅎ.... 너무 완벽해서 아무말도 안나온다.. 그냥 짧고 굵게 놀람의 연속이에요ㅠㅠㅠㅜㅠㅜ 세상 사람들 다 우리 언니 이쁘고 능력있는거 알았으면....... 이렇게 집중해서 본 광고는 처음인데, 투명한 제형의 크림 너무 필요하구 찾고있던거라 바로 구매하러 달려나가는 중🥰",2개
