닉네임,댓글,좋아요수,날짜
페이오스,04:04 강경원 선생님..,19개,2020. 4. 27.
Namhoon,이 영상을 고졸출신 대회 입상경력만있는 사람들이싫어합니다ㅋㅋㅋㅋㅋㅋㅋㅋ 공부좀해라제발,13개,2020. 4. 27.
gwanghoLee,"어쨌든 저쨌든 이 현 초기 영상보다 지금 영상보면 땟깔은 확실히 달라졌음... 
예전 얼굴은 독기 + 궁핍이 느껴졌는데.. 요즘은 얼굴이 번지르르 해... 역시 마사지는 돈 마사지가 최고긴 하다",2개,2020. 4. 27.
myeolchimalin,2:14 형님 직접 찾아갔다는게 물어보러 간겁니까 묻어보러 간겁니까?,6개,2020. 4. 27.
정희윤,"동네헬스장 pt받는사람: 젊은여성, 아주머니, 아저씨, 갓 20살 남자. Pt받으면 금방몸만든다더니 3개월받아도 변화없던데..그러면 시간이답이다, 뭘먹었냐 시전. 마사지로 주제돌리며 pt수업끝. 옆에서보면 진짜 트레이너 개꿀직업인듯.",16개,2020. 4. 27.
나엽,어 감자...?,5개,2020. 4. 27.
GAR갈루메카,형 간다~,10개,2020. 4. 27.
김전환,비추 10명 찔리는 사람들인가 ㅋㅋ,54개,2020. 4. 27.
강산,ㄴㅇㅅ,4개,2020. 4. 27.
똥강아지,마지막에  죽이러 오는것 같아 무서워 형,51개,2020. 4. 27.
박종현,감사합니다. 흑자님. 다시 한번 반성과 다짐을 하게됩니다.,47개,2020. 4. 27.
이윤직,쉽게 꿀빨던 오만한 사람들 벌침 맞고 겸손해 졌으면 좋겠다 ㅋㅋㅋ,16개,2020. 4. 27.
머슬핏TV준,"배울수록 티칭영상을 제작하기 조심스러워지다 못해 안하게 되었고 대면 티칭에 힘쓰고 있습니다
유튜브는 그냥 sns로 활용할 계획입니다 ㅋㅋㅋ",21개,2020. 4. 27.
3대620킹갓벤전사,진리의 더닝크루거 그래프 ㅋㅋㅋ,2개,2020. 4. 27.
강정훈,최.고.,3개,2020. 4. 27.
InFinity9,흑자님은 점점 몸 보다 뇌가 더 섹시해지는 듯.. 아 네모가 좋아질 것 같아..,7개,2020. 4. 27.
원득이,늘 겸손할게요^^,4개,2020. 4. 27.
함진형,이 형은 자기반성이 있어서 그럴듯하게 들려 ㄷㄷㄷ,1개,2020. 4. 27.
혼맥TV,"형 간다!
그놈의 형은 맨날 어디가죠",4개,2020. 4. 27.
아빼애액,???? : 우리 줼륀이 여러분들은 흑자 같은 네모몸이 되기 싫으면 이런 영상 보ㅡ지 마세용 ^^,2개,2020. 4. 27.
원이,우에하라 흑자형 늘 잘 보고있어. 고마워,10개,2020. 4. 27.
Chan9495,진짜 말 잘한다.  언어구사력이 정말 뛰어나세요. ㅎㄷㄷ,1개,2020. 4. 27.
rukawa,무협지 주인공 ㅋㅋㅋㅋ,2개,2020. 4. 27.
감자,"공부의 끝이 없고, 계속계속 발전해 나아가야한다. 라는 말씀이 생각나네요",1개,2020. 4. 27.
동구김,기회의창 하니까 누구 생각나긴 하네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개,2020. 4. 27.
정연관,재밌는건 공중파 방송에서도 잘못된 정보 넘쳐났음 ㅋㅋㅋ,16개,2020. 4. 27.
송성룡,매우 철학적인 내용이네요. 항상 응원하고 있습니다. 그리고 감사합니다.,8개,2020. 4. 27.
이상민,"1:22 불량은... 진짜 불량이었던걸로...
파....토....",45개,2020. 4. 27.
로무새,ㅇㅈㅇㅈ,21개,2020. 4. 27.
양금모,갓경규:무식한자가 신념을 가지면무섭다.,30개,2020. 4. 27.
안대훈성인학습내비게이터,3:50 이거 진짜 명문대 출신만 만나면 어떻게든 깔아 내려 보려고 하는 비명문대 출신 꼰대들 같습니다.,4개,2020. 4. 27.
너우리,형 사랑해요,3개,2020. 4. 27.
김정태,형 지금 네이버 실시간 검색 1위가 흑자전환인데 형 네모 인간에서 오각 인간으로 전환한줄 알고 헐레벌떡 들어갔다가 나왔자나 깜짝 놀랬자 진짜루ㄷㅡ,2개,2020. 4. 27.
Lapiz연필,흑자님... 언제나 느끼는 거지만 말빨이. 헬스를 하셨어야 하는게 아니고... 다른 걸 하셨어야 ~ ! 믿고 보는 흑자헬스:,8개,2020. 4. 27.
김성민,다 박승현이 예언했던 일들이 생겼네요..,18개,2020. 4. 27.
아빠지운,오늘도 좋은 영상 고맙습니다.,2개,2020. 4. 27.
벚꽃마녀,"선댓글 후감상
앗 오라버니 썸넬 자막에 트레이'너'가 빠졌어요!",12개,2020. 4. 27.
주식차트분석강의전문TV,"선 좋아요, 후 시청합니다...",1개,2020. 4. 27.
임진희,흑돌이오빠 왠지.... 만약 턱 보톡스맞으면..대 존잘남 될것같음 ㅎ.ㅎ~~~♡,1개,2020. 4. 27.
조쿠나마타타,마무리 멘트에서 흑구가 없으니 끝나도 끝나지 않은 느낌...,7개,2020. 4. 27.
뛰뛰빵빵,진실의 네모 열려랏!,20개,2020. 4. 27.
cruseLacto,"헬린이들~ 여자몸은 여자가 더 잘알아요~ 여자는 이렇게 해야되요~ 
쉴드가 두꺼워서, 그저 운이 좋아서 한 번 버텼는데. 언제 무너지나 응원하며 지켜보는 중입니다 흑자헬스 화이팅!",2개,2020. 4. 27.
나만의움직임GoYourOwnWay,이 형.. 점점 쎄진다..,2개,2020. 4. 27.
