닉네임,댓글,좋아요수,날짜
김병만,전 오버헤드킥을 오바헤드킥으로해유ㅠㅠㅠ,0개,2020. 5. 2.
험멜축구아카데미축구하는김선생,역시 내생각대로 1등으로 발등으로 잡는 JK 감각이 쩔어욧!ㅋㅋㅋㅋ,2개,2020. 5. 2.
김민제,재근자기네 골 겁나 잘주어머겈ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
오성원,7:14 으ㅜ 아프겠당,0개,2020. 5. 2.
김참직,저걸어떻게햌ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
조진휘,맨 위에 있는 사람 평생 모쏠~,1개,2020. 5. 2.
강경완,5:52 그래ㅠ 이 벌칙 나왔으면 했는데 진짜 나오네ㅋㅎㅋㅎㅋㅎㅋ,7개,2020. 5. 2.
축구선수지망생,한 개도 힘든걸 ㅁㅊㅋㅋㅋ,1개,2020. 5. 2.
A15신주아,"1:16~1:19-고를로스:아 넘 추워....;;; ㅎㄷㄷ
모두들 코로나 조심하세요^^
오늘 영상 꿀잼!!!!!",0개,2020. 5. 2.
조재현,저도 JK 처럼 잘하고싶어요 ㅠㅠ,0개,2020. 5. 2.
류시석,오버헤드킥라보나완전아프겠다ㅋㅋㅋ,0개,2020. 5. 2.
이지수,진짜 대박 재미있어요!,0개,2020. 5. 2.
삥뽕빵뽕,JK 아트싸커 오늘도 역시 재밌군!,0개,2020. 5. 2.
뾰로롱,235등 자괴감 형미안,0개,2020. 5. 2.
jwsoccertv,"5:50 아프리카 그 브금이 왜 형이 거기서 나와? 따라하지 못할 걸 따라 한 jk그러니까




구독",3개,2020. 5. 2.
김은선,관짝에미친jkㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
ShinYoungChung,손흥민 무회전 해주세요.ㅋㅋㅋ,0개,2020. 5. 2.
김명진,관짝밈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
류시석,항상재미있는영상올려주셔서 감사합니다 영상올라올때마다 기대되고 하루가 즐거워욯ㅎㅎ,0개,2020. 5. 2.
RanchYoon,JK형이 다해먹는데ㅋㅋㅋ,0개,2020. 5. 2.
음바페,다 플라이 에미레이츠네 ㅋㅋㅌㅌㅋㅋ,0개,2020. 5. 2.
김지호,JK 넘 잘해~~,0개,2020. 5. 2.
최강윤s,축구 선수인듯ㅎㅎ,0개,2020. 5. 2.
예쁘다미,형 코로나 조심해❤️❤️,0개,2020. 5. 2.
,"헛다리 꿀팁 좀 알려주세요 제발요ㅠㅠ
헛다리 하고 싶어요",1개,2020. 5. 2.
최우선,아닠ㅋㅋㅋ 근데 이분들은 다른 축튜버랑 콘텐츠가 달라서 재밌닼ㅋㅋ,0개,2020. 5. 2.
김망민,갖고싶당 ㅠㅠ 형 제발 ~~~~,0개,2020. 5. 2.
강동우,역시 믿고보는 JK영상,1개,2020. 5. 2.
김규민,0:18허리조심 하셔요~~ㅋ,1개,2020. 5. 2.
유병욱,"웬일로 JK가 벌칙을 두 번이나 받누,,,,,",2개,2020. 5. 2.
게임계저,지구인이 아닌거 같다 ;;;,1개,2020. 5. 2.
너나너우,관짝 밈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 2.
문준성,JK밸런스 붕괴 ㅋㅋ,0개,2020. 5. 2.
msk,남자답게  넘어졋군 ㅋㅋㅋㅋ,0개,2020. 5. 2.
박환,형 4편도 다치지 말고 화이팅!!!!!♡♡♡♡♡,0개,2020. 5. 2.
건우김,너무 멋졍ㅅ,0개,2020. 5. 2.
꿀주먹,인자기 ㅋㅋㅋ,0개,2020. 5. 2.
변가현,관짝춤 추는거 너무 웃기네요,0개,2020. 5. 2.
귀요미,관짝 벌칙 왤케 재밌냨ㅋㅋㅋㅋ 다음편은 더 재밌는 걸로 기대하겠습니다😆😆,0개,2020. 5. 2.
seunghwanKim,08:20 JK 인상쓰고 있는 눈,0개,2020. 5. 2.
휘서김,고를로스님은 오늘도 잘생겼어요!!!!♡,0개,2020. 5. 2.
서현석,재근님 딱밤맞는거 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
박진우,나도 축구 잘하고 싶다,0개,2020. 5. 2.
BKKoo,0:50 국뽕의 취한..드아,0개,2020. 5. 2.
안민영,고를로스 ㅋㅋㅋㅋ 딱밤소리 왜케 무섭냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
야차에타봐,관짝밈 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
이건희,10분 순-----삭,1개,2020. 5. 2.
김정우,jk님 저도 고를로스님처럼 사랑해요.구독자100만가즈아!,1개,2020. 5. 2.
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
배은진,이제 고를로스는 고정인가요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
병신김,형 4개월 전에 천만 유튜버 f2영상에서 형 영상 나왔어,0개,2020. 5. 2.
임하준,레전드 허덜덜,1개,2020. 5. 2.
Bernardvai,jk 세계 최고의 축구 선수,0개,2020. 5. 2.
김현민,역시 jk형 ㅎㅎㅋ,0개,2020. 5. 2.
이민헌,오늘도 꿀잼 ㅋㅋ 호나우지뉴 감차좀 올려줘,0개,2020. 5. 2.
축구의빠진형제축빠형tv,ㅋㅋㅋ,0개,2020. 5. 2.
김보영,ㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
박동진,여기 혹시 개그채널인가요??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
김현민,jk형 너무 잘해요,0개,2020. 5. 2.
이정욱,딴다다단딴~,0개,2020. 5. 2.
최연우,무득점 스트라이커 재브근코(재근 셰브첸코),0개,2020. 5. 2.
익명의알파카,"Jk관짝싸커....
그와중에 재근이형 얻어먹기 ㄹㄱㄴ",1개,2020. 5. 2.
TV재민,4편 5편 6편 게속해주세요 이거 재밌어서 한 편 한 10번 이상 봐요,0개,2020. 5. 2.
김주형,1:43 까비,0개,2020. 5. 2.
손홍민,줴EY마르가 사기캐인듯~,0개,2020. 5. 2.
김재원,아니 다들 손으로 총쏘시나 ㄷㄷㄷ,0개,2020. 5. 2.
터헌유튜브,"Jk님 제가 축구 좋아하는데 같이 하면 안될까요?
저 정말 팬이에요!!!",1개,2020. 5. 2.
onthetrap,jk님 축구 재능 있는거 부럽당.. 저걸 즉석으로 가능??,0개,2020. 5. 2.
응너3년전,축구 유튜버 꿀팁좀 주세요~~,0개,2020. 5. 2.
김은섭,Jk영상 잘보고있어요,0개,2020. 5. 2.
2115주동혁,축구 꿀팁없나요? ㅋㅋ,0개,2020. 5. 2.
이윤민,제이케이 넘모 잼있어요🤣🤣🤣👍👍,0개,2020. 5. 2.
응가,5:53 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
김도현,에미레이츠 항공 광고받았나요??ㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
락놈승,개웃깁니다 ㅋㅋ,0개,2020. 5. 2.
DeanJohannesburg,인ㅈㄱ,0개,2020. 5. 2.
gibcar3깊카3,"축구화 추천 영상 찍어주세요~ (1주일째 고민중,,)",0개,2020. 5. 2.
양현빈,와 이거를 성공  ㄷㄷ,0개,2020. 5. 2.
이현규,3편을 보니 벌써부터 4편이 기대가되네요,0개,2020. 5. 2.
1421윤재용,4:49  왜 안 내려가지?!,0개,2020. 5. 2.
박진우,진짜~~  못따라하는거다~~,0개,2020. 5. 2.
jk앑쌐,와우 오프닝을 짭드가?!,0개,2020. 5. 2.
이상준,라보헤디킥 잘못하면 허리 다침 조심^^,0개,2020. 5. 2.
judypa,와 축구 개고수네 진짜 이거 대박이야,0개,2020. 5. 2.
윤지후,좋은 놀이들 알려주셔서 감사합니다.,1개,2020. 5. 2.
촌놈,"Jk님이 국대를 뛰면 어떻게될까요..?
항상궁금햇는데 ㅋㅋ",0개,2020. 5. 2.
아아아,형도 조기축구 1인칭 한번 해주라,0개,2020. 5. 2.
윤종원,결론:jk님 그는 축구의신,0개,2020. 5. 2.
장PD,Jk사랑해요♡♡♡♡♡♡♡♡,1개,2020. 5. 2.
레드문어,"와 영상 진짜 재밌고 신박하다!





(이렇게 쓰면 되죠?)",0개,2020. 5. 2.
kimminseok,"오프닝에 다 다른 유니폼인데
Fly Emirates 써져있는거 뭔데 웃기냐ㅋㅋㅋㅋㅋ",0개,2020. 5. 2.
개임축구좋아하는초딩,2:30 재근님 표정  ㅋㅋ,0개,2020. 5. 2.
안농,실체 축구경기에서 절대 쓰지 않는 기술들,0개,2020. 5. 2.
유재건,Jk축구도전모두성공 히히히,1개,2020. 5. 2.
김도엽,레전드 오브 레전드,0개,2020. 5. 2.
종현목성tv,JK님 잘생기셧오고 축구에왕이에요,0개,2020. 5. 2.
김민규,관짝뭐야 ㅋㅋ,0개,2020. 5. 2.
skyturtle,구독 완료,0개,2020. 5. 2.
우간TV,Jk님 만능 축구플레이어,0개,2020. 5. 2.
임희준,jk 잘 생겼어요,0개,2020. 5. 2.
PK,"3:44 Steet panna가 고딩이었어???ㅋㅋㅋㅋㅋㅋ
개잘하네",0개,2020. 5. 2.
태호날두,형 사랑해요,0개,2020. 5. 2.
김지은,우왕,0개,2020. 5. 2.
민식이와게임,제이케이님 진짜 축구실력은세계에서 인정할듯,0개,2020. 5. 2.
ShinYoungChung,제이마르 대박!!,0개,2020. 5. 2.
MAPIA뚝,제이마르 후드 집업 갖고 싶다! +제이케이 박보검보다 잘생ㄱ..,3개,2020. 5. 2.
진진,제이케이 짱,1개,2020. 5. 2.
TV토리,여러분 남자의 수명이 짤은 이유 입니더ㅎㄷㄷ...,0개,2020. 5. 2.
도리토스,4:49 성공했는데 왜 뭔가 안한거같지..?,0개,2020. 5. 2.
사랑해요예지누나,짭드리치의 복수가 빠를까요? 린가드의 골넣기가 빠를가요?,1개,2020. 5. 2.
박은재,jk형 다비드루이스 인사이드 무회전 알려주세요,1개,2020. 5. 2.
TonyPark,와우,0개,2020. 5. 2.
JoonLee,저는 그냥 오버헤드라도 잘했으면...,0개,2020. 5. 2.
07태경,줴이케이 아트싸쿼 온롸인~!!!,0개,2020. 5. 2.
고스티드,jk님은 월클 유튜버다,0개,2020. 5. 2.
박성준,요즘 이브금이 뭐지?,0개,2020. 5. 2.
홍성조,여윽시 잡스킬(?) 장인채널 jk 형은 오늘도 멋있다,0개,2020. 5. 2.
모승현,제이케이님 동영상 더 올려주세요,0개,2020. 5. 2.
이상현,JK는 진짜 천재인듯 노력도 하겠지만 공을 다루는데 감각이 남다름,0개,2020. 5. 2.
WH,박깨는 소리가.....ㅋㅋ 네 분은 늘 행복해보이네요,0개,2020. 5. 2.
경민준,벌칙은 언제봐도 새롭네 ㅋ,0개,2020. 5. 2.
