닉네임,댓글,좋아요수,날짜
kimjoo,굽네치킨 진짜 좋아하는데 가격도 착하고 이건 꼭 구매해야징^^좋은정보 항상 감사합니다😍,0개,2020. 5. 13.
양호,참피디님 더조은푸드 사이트가 지금 너무 많이 접속해서 서버 터졌어요 ㅠㅠㅠㅠ,2개,2020. 5. 13.
말많은사람,굽네치킨 오리지널충인데 진짜 위꼴 오진다...,0개,2020. 5. 13.
와인마마Winemama,저 ㅋㅋ참피디님 리뷰하는 안주들 먹으려고 저 에어프라기 구입부터 했네요 ㅎㅎㅎㅎ 아..조만간에 통닭도 해 먹어야겠어요! 참차암~참!!!,32개,2020. 5. 13.
조재형,아 영상 많이 올라오니까 행복하다 진짜,0개,2020. 5. 13.
통형,햐 진짜 맥주생각나게만드네 ㅋㅋㅋ bb,0개,2020. 5. 13.
나비,"헉 이거 평소에 즐겨먹던건데ㅜㅜ
진짜 맛있어요오.....
이제는 못먹겠구만유🥺🥺🥺",0개,2020. 5. 13.
박세준,"헐 ㅋㅋㅋㅋ  전부터 자주 시켜서 집에서 해먹고있는  닭이 공개되다니    이러면 매진더빨리되잖아요...ㅜㅜ   
저거 진짜  맛있어요  냄새도 진짜 끝내주고 
글고 가격도 되게 저렴해서 짱좋음!!  
닭가슴살도 진짜 부드럽고 잘넘어감 끝내줘요",0개,2020. 5. 13.
감나무,굽네치킨 염지닭이랑 거의 비주얼 똑같음ㅋㅋ,0개,2020. 5. 13.
균상TV,에어프라이어 용량... 엄청크닭ㅋㅋ 합성인줄,0개,2020. 5. 13.
너무너무조하조하요,이 제품 너무 많이 먹어서 이제 보내줘두 헤헿,16개,2020. 5. 13.
짱성학영상,쩐당...혼술할때 안주가 형님 영상..  ㅋㅋ,0개,2020. 5. 13.
김세은,이거 자주 사먹던 제품인데 정말 맛있어요ㅠㅜㅜㅠㅠㅠ,0개,2020. 5. 13.
LMW,아 안돼..... 내가 즐겨먹던건데..... ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ벌써부터 주문하기 힘드네 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0개,2020. 5. 13.
Skywalker,저렇게 구운 상태에서 165도 기름에 1분 20초만 담구면 유명한 푸x닭이 됩니다 거기서 손질하던 닭이랑 완전 똑같네요,0개,2020. 5. 13.
조주현,이거 처음에 맛있는데.. 십분만 지나도 너무 퍽퍽해지고 맛없어요 ㅜ ㅜ,0개,2020. 5. 13.
monaco9593,"우와!!
참피디님 표정에서 (인정쓰!!)가
보이네요~~
구매의욕이 뿜뿜입니다 ~ ^^
즐거운 리뷰영상 
잘보고가요 !!
파이팅! 👍 😁 
건술!!
촴촴촴 ~",1개,2020. 5. 13.
심기보,4K까지 볼수 있어서 넘 좋음..,0개,2020. 5. 13.
나인,"오?  제가 시킨 곳이네요?
드디어 방송으로 해주셔서 감사합니다.",1개,2020. 5. 13.
김민지,참피디님 구독자에요!! 처음으로 시켜봐요 맨날 눈팅만 했는데! 히히 맛있게 잘 먹을께요❤️,0개,2020. 5. 13.
와디즈를보면짖는개,"10호닭 염지해둔 걸 2마리에 14000원 한마리당 7000원  업체에서남는게뭘까요?
의심해봅니다...",1개,2020. 5. 13.
꼰지오빠,썸네일보고 '와 이제 식용 개구리 나오는구나' 했습니다.,0개,2020. 5. 13.
장수빈,ㅋㅋ 이거 어제 먹었던거네,1개,2020. 5. 13.
최자두,"애정하는곳인대
이제 주문힘들어지긋네  우씽ㅠ",0개,2020. 5. 13.
윤정석,더조은푸드 홈페이지터짐ㅋㅋㅋㅋ,0개,2020. 5. 13.
무릿님,7:42 육즙Party~!,0개,2020. 5. 13.
노디,이거 프랜차이즈 치킨 매장이 있는데 혹시 거기일가요?? 그럼 대박인데...,1개,2020. 5. 13.
minB,14일에 시켰는데 오늘 점심쯤에 왔어요! 야식으로 먹어볼 예정인데 기대되네용,0개,2020. 5. 13.
차영채,와 저 굽네 오리지널 덕훈데 ㅠㅠ 믿고 시켜봅니당요 근데 벌써 배송 지연된다고 공지했네여 콬 역시 참피디님 영향력 👍,0개,2020. 5. 13.
이영윤,"woooow ~구독자수 1,240,000달성 하셨네요  ㅊㅋㅊㅋ🎂🍷🍷🍷",0개,2020. 5. 13.
동글,아..치킨보다 ㅠㅠㅠㅠ깍두기 사람 미치게하네요 쌀밥에 깍두기 먹고싶다 아 다이어트  ..하,0개,2020. 5. 13.
신승훈,우와 바삭하진 않지만 굽네 치킨 같은 닭 고유의 풍미가 대박이겠다 좋은거 알고 갑니다,9개,2020. 5. 13.
앚즈사랑해,여기 진짜 맛있는데......형때메 못먹자나.........하....ㅜㅜㅜㅜ,0개,2020. 5. 13.
배준영,아니..영상 나온 지 1시간밖에 안 지났는데 왜 벌써 서버가 터져..,0개,2020. 5. 13.
점점점,"에어프라이어부터 사야겠네요 ㅠㅠ 에어프라이어 나만없어 ㅠㅠ
생닭이면 사서 바로바로 먹어야지 비상식량으로 비축해놓진 못하겠군요",0개,2020. 5. 13.
dyrgod,솔직히 굽네급까진 아님. 근데 맛있음ㅋㅋ 브랜드도 여러개던데 구어조은닭은 당분간 주문 빡세것네,0개,2020. 5. 13.
매론레몬맛,"에어프라이어는 다 좋은데 설거지가 너무 빡세...
기름 줄줄 튀김가루 그득",1개,2020. 5. 13.
이서우,8:26 부터 숨 참은사람 ..? 8:35 편-----안,0개,2020. 5. 13.
JinwhoiJung,구어좋은닭은 몇달전에 먹어본적 있는데  가성비도 좋고  맛도 좋아요~~,0개,2020. 5. 13.
도화동정일우,굽네 알바 했었는데 굽네 계육 치킨  이랑 똑같네요 ㅋㅋㅋㅋ최고!!,0개,2020. 5. 13.
최환호,"아 형!
홈페이지 트레픽 초과로 못시키잔아!
리뷰전에 한 3일 1주일전에

웊튭글로 뭐 시켯는지올려줘
같이 사서 먹으면서 보게",0개,2020. 5. 13.
071130에릭,참피디님!랍스타로 마라랍스타해주세요!!(마라룽샤말고),1개,2020. 5. 13.
힣힣,와 저희집도 몇일전에 사서 먹고있는중인데 진짜 파는거랑 똑같아용 가격오를까봐 걱정이네요ㅠㅠ,0개,2020. 5. 13.
더블류,아앗 저만 아는 가성비 좋은 치킨발견해ㅛ다고 생각했는데 세상에ㅔ,0개,2020. 5. 13.
king2n,아..나 이거몰래 시켜먹던곳인데 사람들이너무많이시켜서 엄청밀려따ㅜㅜ,0개,2020. 5. 13.
진격의방탄,"굽네치킨이야 하시자마자 바로구매 
벌써 거기 난리났네용 역시 참피디님 
감사해용좋은정보❤",0개,2020. 5. 13.
CokePepsi,이거 그냥 타바스코 소스 뿌려먹으면 진짜 개지리는데 ㅋㅋ,0개,2020. 5. 13.
DGKim,나만 알고싶은 치킨이었는데......... 이제 주문하기 힘들어 지겠군요~ ㅠㅠㅠㅠ,0개,2020. 5. 13.
haha,14일날 시켰는데 오늘왔어유 생각보다빨리옴 존맛. 사실분 언능 사셈,0개,2020. 5. 13.
안녕,7:42 와 육즙보소 ㄷㄷ,0개,2020. 5. 13.
khm,되게 부지런하시네 매일 영상 올려주셔서 감사요,0개,2020. 5. 13.
이종연,우마님 최고~^^ 영상 잘보고있어연,0개,2020. 5. 13.
유다,아 이게 결국 이 영상에 뜨는구나ㅜ 나중에 사기 힘들어지겠네...........,0개,2020. 5. 13.
RianLee,이거 궁금했었는데 얼른주문하거 왔습니다,0개,2020. 5. 13.
까꿍이,운 좋게 2마리 11000원에 샀는데 진짜 맛있네요 이제는 이 가격에 못구하지만 그래도 가성비 좋아요,0개,2020. 5. 13.
jkway3,비주얼이 ㄷㄷㄷㄷㄷㄷ,0개,2020. 5. 13.
tv최강,진짜 맛있겠다....,0개,2020. 5. 13.
황준영,와 보자마자 바로찾아서 샀음 감사합니다,0개,2020. 5. 13.
samjangrameon,업소 납품용 닭 가격이 6700원정돈데 7000원이면 ㄹㅇㅋㅋ,0개,2020. 5. 13.
임채리,참피디님은 안주도 안주지만 반찬들이 건강해서 건강하신듯,0개,2020. 5. 13.
대륙의유반장,참피디님 지금 모비딕메로에서 메로 1+1하고 있어요 ㅋ 메로구이도 해주세요 ㅋ,0개,2020. 5. 13.
구독좋아요,7:42 육즙 미쳤다,0개,2020. 5. 13.
우오오,형 술안마시는거보니까 단백질이라고 치킨두마리먹고 쇠질하러갓구나?? 맞지?,1개,2020. 5. 13.
슈퍼스타영2SuperstarYoungE,아니 이런 연쇄품절마 살수 가 옵쩡!!!,1개,2020. 5. 13.
바다생활만30년,"이정도면 광고비 드려야하는거 아니냐 ㅋㅋㅋㅋㅋ
참피디님이 올리기만 하시면 다 금방팔리던데",0개,2020. 5. 13.
BYRU,감사합니다 이거 주문해야겠네요 술안주로도 딱이고 감사합니다 좋은 리뷰해주셔서요,0개,2020. 5. 13.
김보민,"얼굴표정보면
진짜 맛있는지 아닌지를
알수 있을듯요~~ㅎ
모든걸 감안하고
믿고 사보는걸로~~!!
9시에 뵈유^^",0개,2020. 5. 13.
밤가을,"유통기한에 대해서 잘못 알고 계신분들이 있다만. 
냉장뿐만이 아닌 냉동 보관도 
가능 하다고 들었음. 
이 제품 종류의 타 기업 제품인 구어유 시켜먹던 사람인데. 냉장 보관만 되는 거 아니고 냉동도 됩니다.",0개,2020. 5. 13.
넘기지마급충이,크으!!!!! 형님 진짜 맛깔나십니다,0개,2020. 5. 13.
악어상인,몇달전에 먹어봤는데 그저그랬음,1개,2020. 5. 13.
jho,"정말 치킨값이 말도 안되는 가격인데 치킨먹고 싶을때 최고네요 
찾아보니 3개사면 1개주는 이벤트 하는데도 있고요",0개,2020. 5. 13.
initiald,실제로 에어프라이어 돌려먹으면 수분 다 빠져서 퍽퍽함,0개,2020. 5. 13.
유화,영상보다 에어프라이기랑 닭이랑 사버렸어요!!!ㅜㅜ어쩔 ㅋㅋㅋㅋㅋㅋㅋ에어프라이기는 내일바로오는데 닭은 ..주문폭주로 힝...빨리먹어보겠습니닷.,0개,2020. 5. 13.
술시루SulSIRU,집에서 만든 퀄러티가 굿♡,0개,2020. 5. 13.
소우주,이것도 품절 나겠네 진짜 가성비갑인데,0개,2020. 5. 13.
아담Adam자취생먹방,이거 자취생들은 제목보고 안 들어올 수가 없네요 ㅎㅎㅎ 오늘도 너무나 좋은 영상 감사합니다 참피디님:),33개,2020. 5. 13.
보글보글,중소기업 살리는 좋은분,0개,2020. 5. 13.
팩냎괙,4:05 불딱냔년,1개,2020. 5. 13.
쫑이,"먹는 얼굴 보면 맛있다는게 느껴지네요
원래 맛있는거 먹으면 화난 얼굴이 나옴
왜 이제 알았지라면서",0개,2020. 5. 13.
뚜비스크류,근데 냉장닭은 냉동하고 먹으면 닭냄새가 좀 납니다 ㅜㅜ,0개,2020. 5. 13.
박용태,와 트래피초과떠서 구매를 못해옄ㅋㅋ 역시 참피디님효과 ㄷㄷ...,0개,2020. 5. 13.
gildonghong,사세 버리고 이거로 갈아타야 겠네요,1개,2020. 5. 13.
