닉네임,댓글,좋아요수,날짜
이상윤,단언컨데 2년간 가장 많이 팔릴 핸드폰,5개,2020. 4. 28.
지나가는호야,화이트 사전예약 햇써욤,2개,2020. 4. 28.
김건희,왜 지금 4k로 안보이지??,3개,2020. 4. 28.
Aurum,은근 레드가 자꾸 끌리네요 ㅋㅋㅋ 볼수록 매력있는 레드. 이상적 그러나 합리적. 사고 싶다.,1개,2020. 4. 28.
이해미,영상 잘 봤습니다! 혹시 화이트 색상 들었을 때 정면에서 프레임 흰 부분 잘 보이나요? 액정은 검은색인데 옆이 흰색 실버색 이라서 티가 잘 나나 싶어서용,0개,2020. 4. 28.
득근이,"아이폰도 멋지게 소개하는 남자




스티븐 잡스",23개,2020. 4. 28.
큰소리로왹져바,강화유리 풀커버 필름 추천 영상 찍어주시길 바라고 있슴다..!!!!!!+!!!,1개,2020. 4. 28.
CrintopianuPPosongdu,"실버/화이트도 그렇고 내가볼때는 블랙/스그도 8이 훨씬 이뻐보인다 ...
8은 뭔가 고급지고 애매한 색을 낼려고하는데 se는 너무 빨!강! 하!양! 검!정! 하는거같아서 좀 너무 쨍한거같다ㅜ",29개,2020. 4. 28.
곰숙,영상 잘봤습니다 굿,0개,2020. 4. 28.
한윤혁,내 인생 최대 고민이다,11개,2020. 4. 28.
wongikim,전면을 왜 다 검정으로 했는지.. 이부분이 진짜 맘에 안드네,45개,2020. 4. 28.
BillyPark,LIFE WAS GOOD,30개,2020. 4. 28.
JuliettHotelCharlie,하.. 이 영상에서도 웅웅 거리는 잡소리 들리네요.,1개,2020. 4. 28.
이성준,갠적으로 저 아이폰8 요구르트색 좋아했었는데....,1개,2020. 4. 28.
꼬마악동,화이트 블랙중에 뭐살까요?  너무 고민임,6개,2020. 4. 28.
여우비,나만 화이트파..?,7개,2020. 4. 28.
히익,2:00 우릴 속였어 이건 광고야!,0개,2020. 4. 28.
지훈최,@3:25초 흠?,1개,2020. 4. 28.
cltt,"XR팔아치우고갈아탔는데배터리상대적으로짧지만크게불편하지않고, 정말만족스럽네용",2개,2020. 4. 28.
토마토막,레드가 참 이쁘게 잘 나온거 같아요.,16개,2020. 4. 28.
,얘들아 ... ㅠㅠ어디는 화이트가 젤 예쁘다하고 여기는 블랙이 더 인기많네 나 블랙 사전예약했는데 색상변경할거면 오늘 말하고 늦게받아가래 ㅠㅠㅠㅠ고민된다 뭐가예쁘니,2개,2020. 4. 28.
s2s2s2,시크한 블랙으로 예약했어요~! 기대기대!!,0개,2020. 4. 28.
noingwat,훠우 잘보고 갑니다!,1개,2020. 4. 28.
