닉네임,댓글,좋아요수,날짜
정진아,옷이 예쁜 것도 있지만 언니가 예뻐서 더 예쁘게 보인다 역시 패션의 완성은 얼굴이다••• 기억하자••• 영상 퀄리티 짱이다••• 언니랑 함께한지 이제 4년이다 ㅎㅎ 행복하다•••,0개,2020. 5. 8.
장유진,"언니 저는 무쌍 같은 속쌍인데 언니 화장법 보고 많이 배워가요! 옷도 너무 이쁘게 잘 입으시는것 같아요❤ 언니가 제 롤모델이랍니당🥰
유익한 영상 많이 올려주셔서 고마워요! 
항상 응원할게요😊",0개,2020. 5. 8.
양지원,언니 정말 안어울리는 색이 뭔가요!!!ㅜㅜ왜이렇게 다 찰떡이얌 다음 생은 무조건 언니로 태어날래,0개,2020. 5. 8.
신화영,"난 진짜 언니 룩북 너무 좋아요❤
언니 너무 좋아요❤",2개,2020. 5. 8.
김하은,희주언니..사랑해요...진짜 예쁘다는 말론 부족해요 완전 골져스 스플렌디드ㅠㅜㅜㅠㅠ 옷도 완벽하게 잘 어울리세요!!! 목소리까지 깜찍하셔... ☺️❤️,0개,2020. 5. 8.
김보라,언니 윤훼이랑 헤이즈 섞엿어여 너무이뻐여...❤️🥺,0개,2020. 5. 8.
caendure,"하 진자 언니 슈퍼모델해야댐,,,,,",0개,2020. 5. 8.
YuriCruz,Wooo que hermosa te vez me encantan tus outfit deves algun modelo😍,0개,2020. 5. 8.
SheetalBehera,"I love this video, it is really so therapeutic",0개,2020. 5. 8.
수연suyeon,와 언니 허리 얇은거 실화인가..,0개,2020. 5. 8.
Mia,"Oh my, these looks are so cute",0개,2020. 5. 8.
이승연,"코디들이 다 제 취향이네요ㅎㅎ
덕분에 좋은 옷 찾은것같아요ㅎㅎ",0개,2020. 5. 8.
유미화,희주언니는 안어울리는색이 뭐냐며~~~💜🧡💛💚💙🤍🖤🤎❤️ 안어울리는옷이뭐냐며~~~~,1개,2020. 5. 8.
방울토마토,색감 천재♥,0개,2020. 5. 8.
써유니SSEOYOONY,"언니 피어싱 위치 소개, 피어싱 소개 영상 한번 찍어주세요 🥰🥰",0개,2020. 5. 8.
다밍,"언늬 미모는 오늘도 열일~~,,💜💜",0개,2020. 5. 8.
caritae,"Ame todos, ¡gracias por las ideas hermosa! 💗",2개,2020. 5. 8.
GregorioAlarcon,Les filles coréennes sont très belles <3,0개,2020. 5. 8.
팡궁디팡,존예❤️❤️❤️❤️이런 룩북 더 많이 올려주세용~,0개,2020. 5. 8.
ILynNewYork아이린뉴욕,세상에 넘나 공주님같아유💚🧡💛  빨리 봄놀이가고싶은 룩들이에용😍,0개,2020. 5. 8.
Januarybihh,뭐야 왤케 예뻐,0개,2020. 5. 8.
,とてもかわいいです🤍,0개,2020. 5. 8.
이빨요정,다른 룩북은 안봐도 언니껀 본다구,0개,2020. 5. 8.
유정,민트컬러 넘나 착붙 ♥,0개,2020. 5. 8.
토마토,파스텔...! 너무좋아요!!🤍,0개,2020. 5. 8.
softdevil,"adoro como te vestís, eres súper hermosa! 💖",0개,2020. 5. 8.
귀여운외계인,로블리❤️,0개,2020. 5. 8.
JYYoon,지금 반말 겟레디 보다가 알람 떠서 바로 왔어용!!!,1개,2020. 5. 8.
UhooYeah,희주님 이번 스타일링들 다 편해보이는 옷이어서 좋아요 ㅠㅠ 저 불편한옷 극혐하는데 이번 스타일링은 편하게 따라 입을수 있을거 같아요,0개,2020. 5. 8.
김지은,온니는 오늘도 이쁘시군요 !!!❤️❤️❤️,0개,2020. 5. 8.
yumilim,희주님 너무 예뻐요ㅠㅠㅠ❤️ 정말 메이크업부터 스타일까지 모두 다̆̈ 취향저격 당했어요ㅠㅠ😍 아 혹시 희주님 키가 어떻게 되시는지 알수있을까요..?̊̈!,1개,2020. 5. 8.
