comment,noun,adj,verb
"깜짝 거대 단무지 등장👍02:45
떵개형 클라스 ㅋㅋㅋ","['깜짝', '거대', '단무지', '등장', '떵개형', '클라스']",[],[]
배도라치 먹방 해주세요 제발,"['치', '먹방', '제발']",[],"['배다', '해주다']"
"잘보고있어요 떵개님♥♥ 
혹시 가락떡볶이 한번 더 해주실 수 있나요 저번 영상에서 단무지가 없어서 아쉬웠심니다..ㅠㅠ 오늘도 잘보고가용","['떵', '개님', '혹시', '가락', '떡볶이', '한번', '저번', '영상', '단무지', '오늘']","['있다', '없다', '아쉽다']","['보다', '해주다', '심다', '보다']"
"이야~~그냥 맛있겠다...
나 근데 100번째 댓글런감?ㅋㅋ","['그냥', '댓글', '런감']",['맛있다'],[]
스마트폰이 냄새는 안느껴져서 정말 다행이네.. 후...오늘도 견딘다...,"['스마트폰', '냄새', '정말', '다행', '오늘']",[],"['느껴지다', '견디다']"
私も急にラーメンが食べたくなる~~今は時間が遅れてしまったのでちょっと迷い中ですねwwwww,[],[],[]
"맛있게 보고 갑니다.
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",['보고'],['맛있다'],['가다']
아...힘들다,[],['힘들다'],[]
짜파게티와 단무지....잘 어울린다 ㅎㅎ 역시~~짜파게티.....,"['짜파게티', '단무지', '역시', '짜파게티']",[],"['자다', '어울리다']"
떵개님 많이 더우신가봐여ㅠㅠ 땀을 많이 흘리시네요 다이어트 중인데 대리만족 하고 갑니댱♡♡♡,"['떵', '개님', '땀', '다이어트', '중', '대리', '만족', '갑니댱']",['덥다'],"['가보다', '흘리다', '하다']"
Lopelope yu ❤️,[],[],[]
와!!!!!!! 와!!!!!!!!!! 댬ㅎ뵤너다차치퍄퍄랴도뎌텨ㅕ어어어ㅑㅓㅛㅏㅕㅐㅙㅛㅐㅛㅐ,"['댬', '뵤', '다차', '치', '퍄퍄랴도뎌텨', '어어']",[],"['오다', '오다']"
나도 저녁때 짜파게티 먹엇는데 ㅋㅋㅋ 요즘 이상하게 짜파게티 겁나땡김..ㅠㅠ,"['저녁때', '짜파게티', '요즘', '짜파게티']",['이상하다'],"['나다', '먹다', '늘다', '겁나다', '땡기다']"
"짜파게티 양때매 계란후라이가 메추리알 후라인줄 알았어요😅
오늘도 맛있게 잘보고 갑니당👍","['짜파게티', '때매', '계란후라이', '메추리', '알', '라인', '오늘']",['맛있다'],"['알다', '보다', '가다']"
첨에 햄 핫도그인줄 ㅋㅋㅋㅋㅋㅋ,"['처음', '햄', '핫도그']",[],[]
짜파게티보다 맛있는 짜장라면이 있다면 추천좀~!,"['짜파게티', '짜장라면', '추천']","['맛있다', '있다']",[]
저! 한입만여 ㅠㅠㅠㅠㅠ 맛있겠다 ㅠㅠㅠ,['입'],['맛있다'],[]
델리햄 돈가스 소스에 찍어드시면 맛있어요 !!,"['델리', '햄', '돈가스', '소스']",['맛있다'],"['찍다', '들다']"
찍는 곳이 더운가봐요 사천짜장 드시는 줄 알았어요 ㅠㅠ,"['곳', '사천짜장']",['덥다'],"['찍다', '가보다', '들다', '알다']"
와ㅏㅏ 배고파진다ㅏㅏㅐ,[],['배고프다'],['오다']
공화춘 짜장면 먹어줘요~~,"['공화춘', '짜장면']",[],['먹어주다']
떵개님이 드시니까 스팸이 핫도그ㅊ처럼 보이네요ㅇ0ㅇ,"['떵개님', '스팸', '핫도그', '처럼']",[],"['들다', '보이다']"
"Nice, I love it ♥️♥️",[],[],[]
"어떻게 공기랑 함께 씹으시는서지...?
나만 그렇게 느끼나...?","['공기', '서지']",['어떻다'],"['씹다', '느끼다']"
이렇게 먹어보고싶다.. 이렇게 먹으면 운동 빡세게 해도 당뇨와서..,"['운동', '빡세', '해도', '당뇨']",[],"['먹다', '보다', '먹다', '서다']"
진짜 음식 먹으면 살 찐다는 강박있어서 고생 중인데 떵개님 영상 많이 봐요 ㅎㅎㅎ,"['음식', '살', '강박', '고생', '중', '떵', '개님', '영상']",['있다'],"['먹다', '찌다', '보다']"
너무 맛있게 드시네요..이 밤에 배가 꼬르륵..,"['밤', '배', '꼬르륵']",['맛있다'],['들다']
"am i the english comment you were looking for? if not, then i truly apologize that you've found my comment",[],[],[]
방금 운동하고 왔는데 알고리즘은 날 또다시 지옥행 급행열차에 초대했다..... 아악...ㅜㅜ😳🥺😟😵😱😱,"['방금', '운동', '알고리즘', '날', '지옥', '행', '급행열차', '초대', '아악']",[],"['오다', '하다']"
うまそう！！,[],[],[]
공부 asmr 쳤는데 들어와졌다,['공부'],[],"['치다', '들어오다']"
짜파게티에 반숙은 진짜 레전드 ෆ,"['짜파게티', '반숙', '레전드']",[],[]
ソーセージでか！,[],[],[]
와 미쳤다ㄷ.,[],['미치다'],['오다']
i love your vedios and i like the way of your eating cause it make me so hungry ♥️💔 beautifull greeting from iraq to you..,[],[],[]
안녕하세요!! 하트좀...,['하트'],['안녕하다'],[]
저 햄 핫도그 인줄 알았음..,"['햄', '핫도그']",[],"['이다', '알다']"
왜 전 계란후라이가 더 먹고 싶을까용..?,['계란후라이'],[],"['먹다', '싶다']"
오늘은 반숙계란하고 짜파게티 그리고 햄까지 먹어서 아주 보기 좋네요♡,"['오늘', '반숙', '계란', '짜파게티', '햄', '아주', '보기']",['좋다'],['먹다']
맛있겠지만 몸에 적신호 오는것들...,"['몸', '적신호']",['맛있다'],[]
진짜 별거아닌데 떵개님이 드시면 먹고싶음,"['별거', '떵개님']",['아니다'],"['들다', '먹다']"
햄님요!!ㅎㅎ,['햄'],[],[]
6등!!,[],[],[]
개떵님은 왜 영상안찍으시는지 알려주실분 ㅠ,"['개떵님', '영상']",[],"['찍다', '알다']"
나는 먹방 보면 생기는일 10분 보다가 군침 돌고있으면 그리고 5분 지나면 먹으면사 보고있음 🍔,"['먹방', '군침']",[],"['보다', '생기다', '보다', '돌다', '지나다', '먹다', '보다']"
와우..👍,['와우'],[],[]
