닉네임,댓글,좋아요수,날짜
영태를아시나요김,"엘지유플러스 에서 벨벳 구매 시 요금제에 따라 VR 기기를 무료 또는 할인해서 신청해 받아볼 수 있는데 그 중 ""피코 리얼플러스""라는 제품은 휴대폰을 직접 꼽지 않고 선으로 연결하여 볼 수 있는 기기이며 V50, V50S, 벨벳 에서만 사용할수 있다라고 보고 신청을 했습니다.
그런데 처음 사전예약 할때는 이벤트 신청 페이지에서 보지  못했던 ""벨벳폰으로는 유뿔에서 제공하는 VR컨텐츠 중 게임은 이용 못한다.""라는 유의사항 문구를 발견하게 되었는데,이게 단순히 제가 못보고 지나친건지 갑자기 문구를 추가한건지....만약 갑자기 추가한 것이라면 이것을 목적으로 벨벳폰 구매한 사람들에겐 허위 광고가 될 수 있겠다 싶은데 이에 관한 리뷰도 부탁드려요~",0개,2020. 5. 13.
박돌체아빠,se2 사자... 55만원,0개,2020. 5. 13.
재생일시정지,저 물방울노치(?)만 아니면 괜찮을거같은데,0개,2020. 5. 13.
월리,엣지가 크로미움 기반으로 오면서 기존보다 훨씬 편해졌더라구요....,9개,2020. 5. 9.
식은널보내,"오 콜렉션 기능은 괜찮네영
괜찮은 정보나 그런 페이지까지 즐찾해놓으면 즐찾만 많아지고 지저분해지는뎅",4개,2020. 5. 9.
qxyw,오랜만에 하드웨어 리뷰가 아니네요 역시 시디맨 근본은 소프트웨어쥬,4개,2020. 5. 9.
차영준,크롬에서 램잡아먹는것만 개선되었으면 좋겠네여 ㅋㅋㅋㅋ,21개,2020. 5. 9.
BSTiger,기존에 엣지를 주로 썼는데 새버전으로 갈아타봐야겠네요 ㅎㅎ 영상 잘보고 갑니다!,4개,2020. 5. 9.
이주영,크롬 쓰다가 네이버 웨일로 넘어갔는데 뉴엣지도 솔깃하네요ㅎㅎ네이버 웨일과 비교했을 때 뉴엣지가 사용하기 더 편할까요?,6개,2020. 5. 9.
후루츠뱅스,"덕분에 좋은 프로그램을 알고 갑니다! 안그래도 요즘 크롬이 영 느려졌다 싶었는데..확실히 뉴엣지가 빠른게 느껴집니다.
고사양 데스크탑에서는 그 체감이 더 크게 나는 것 같고, 저사양 노트북(인터넷 서핑, 문서용)에서도 크롬보다는 유튜브가 좀 더 원활하게 돌아가는게 느껴집니다.
앞으로 잘 부탁드립니다^^ 구독 좋아요 누르고 갑니다~",2개,2020. 5. 9.
지우개,니도 이제 마이크로 ㄱ 나원래 네이버 웨일 썻는데 이제 이걸러 가야것다,9개,2020. 5. 9.
주이찬,ㅗㅜㅑ 진짜 빨라요 ㄷㄷ,0개,2020. 5. 9.
킹킹나나,이 영상 보면서 바로 설치해서 사용해보고 있ㅅ브니다. 좋은 정보 감사합니다. 이 브라우저는 몰랐네요~ (파이어폭스 사용중이었습니다.),0개,2020. 5. 9.
정라이,"저도 설치해봤어요,. 각진 크롬(?) 느낌이랄까요,.계속 사용할 것 같아요,.유용한 정보 감사합니다,.",4개,2020. 5. 9.
양호성,감사합니다 ~,0개,2020. 5. 9.
초록이,그리고 제일 큰 장점은 크롬보다 cpu 사용량을 훨씬 적게 잡아먹는다는점..저는 이것때문에 크로미움 엣지로 넘어왔습니다.,2개,2020. 5. 9.
셰이디,좋은 정보 감사합니다,1개,2020. 5. 9.
봉무게들어주는조상님,혹시 ADblock 실행중에도 빠릿한가요? 크롬에서 잘 쓰고는 있는데 ADblock 실행하면 좀 느려져요 ㅜㅜ,1개,2020. 5. 9.
TurboS,"저도 신(새) 엣지 쓰는데, 이거 써보고, 바로 크롬 지워버렸습니다.ㅋㅋㅋㅋㅋ",0개,2020. 5. 9.
보달봄,감사합니다. 저도 갈아탔습니다,1개,2020. 5. 9.
MichaelLee,ㄱㅅ합니다,1개,2020. 5. 9.
186cm78kg,좋은데요~ 스크롤 위.아래 움직임도 크롬 보다 부드럽고~,0개,2020. 5. 9.
,다운로드 받았습니다~ 감사합니다! 근데저는 왜 주소표시줄에 몰입형 리더가 안 뜰까요ㅠ??,0개,2020. 5. 9.
빼꼼냥,생각보다 마소 크롬엣지 좋더군요. 곧 20h1으로 업데이트 된다고 하니 그 때 마소 엣지는 더 좋다는 평이 있네요..,0개,2020. 5. 9.
Geek,쩐닷!!,0개,2020. 5. 9.
불란서감성,네이버 웨일이랑 비교해서 어떤가요?,2개,2020. 5. 9.
촤니,한국산 관공서사이트에  액티브엑스같은건 문제없이 잘 돌아가나요?  솔깃하네요,6개,2020. 5. 9.
heeeokyang,번역과 읽어주기 기능  메뉴가 어디에 있는지 설명이 부족합니다...,2개,2020. 5. 9.
heejeon,"저도 회사에서 뉴엣지 사용중입니다만, 크롬보다 확실이 빠릿빠릿 합니다",1개,2020. 5. 9.
오케헤헤래,감사합니다  좋아보이네용,0개,2020. 5. 9.
카라멜고양이,저는 갠적으로 네이버 웨일 브라우저가 좋더라고요. 유저 편의성 기능이 여러가지라서 국산이 좋으신분들은 웨일브라우저를 추천드림,0개,2020. 5. 9.
그놈의굴리트,크롬이 저헌태는 가장 편해요 ㅋㅋㅋ,0개,2020. 5. 9.
,오 감사합니다 바로 설치했어요 ㅎㅎ 아참  크롬은  내가 띄워둔 인터넷창들  그대로 열리는데..  알려주신 브라우저는  껏다키면  싹다 사라져있는데  어떻게 하면 제가 켜둔 인터넷창 그대로 열릴까요?,0개,2020. 5. 9.
MJ,혹시 따로 추천하는 모바일 브라우저 있으신가요?,1개,2020. 5. 9.
BearGryllsz,"솔직히 크롬 대안으로 예전부터 좋다는 브라우저 웨일, 오페라, 예전의 스윙까지 별거 다 깔아보고 실망한 경험이 많아서 이번에도 의심병이 도졌었는데요,
그래도 씨디맨님이 영상까지 만들었으니 이유가 있겠지 해서 깔아보았는데 말씀하신대로 모든면에서 빠릿합니다... 와..
크롬이랑 동기화 하니까 클릭몇번으로 방금 보던 탭까지 띄워주고 기존 확장 익스텐션까지 다깔림ㄷㄷ.. 가장 쉽고 완벽한 이사였습니다..
말씀대로 포멧직후보단 누더기컴에서 더 체감이 크네요.. 쓰던 PC나 구형노트북에 깔았을때 체감향상 엄청났습니다. 다들 테스트 해보시길",2개,2020. 5. 9.
붕어마름,바로 설치해보니까 정말 빠릅니다. 세팅도 별로 따로 할 것이 없고 아이디는 마소껀데 확장프로그램도 저절로 깔리고.,1개,2020. 5. 9.
KihanKim,저는 아이패드와 갤럭시폰에서도 에지를 쓰는데 아주 좋아요,0개,2020. 5. 9.
이찬호,파폭이랑 비교허면 어떨까요?,0개,2020. 5. 9.
InsungChang,혹시 brave 브라우져와 비교영상도 부탁드려도 될까요?,0개,2020. 5. 9.
박경태,크롬은 소프트웨어 리포트때매 버려야 함,1개,2020. 5. 9.
야월,우연히 뉴엣지 사용하게 됐는데 우선 속도면에서 가장 우수하다 느껴집니다. 익스플로러랑 크롬 없애버림,0개,2020. 5. 9.
KoreaKim,네이버웨일 브라우저도 좋은데 ㅠㅠ,2개,2020. 5. 9.
BSKim,네이버에서 만든 웨일이 좋음,0개,2020. 5. 9.
jjk,윈7 쓸때 익스플로러   지원 종료  이러길래  예전에 깔아서 써봤는데  아직 까진 많이 불안정하던데  좀더 업데이트 되고 나아지면 쓰는 것도 나쁘진 않겠네요,1개,2020. 5. 9.
박하탕,마침 저도 크롬 쓰다 엣지 브라우저 쓰고있는데 1달 반정도 거의 매일 써온 바로는 최곱니다. 크롬처럼 크래시 뜬다던가 프리징 된다던가 하는 잔버그 전혀 없드라고요,0개,2020. 5. 9.
허니쭈니,"크롬을 쓰는 이유가 빠른것도 있지만 안드로이드 호환,공유 문제도 무시할수 없는데 그것은 어떻게 하시나요?",1개,2020. 5. 9.
HANEULKIM,콜렉션은 좋네요,0개,2020. 5. 9.
티마르포포카,크롬은 크게 변할게 없어 보이니까 그거로 넘어가는게 아닐까 하는군요.,0개,2020. 5. 9.
cblee,크로미움 엣지.. 즐겨찾기가 드래그앤 드롭기능 지원 안함.. 즐겨찾기 탐색기로 편집불가능(즐겨찾기 숨겨났음).. 익스플로러의 즐겨찾기 화면 고정 기능 삭제.. 쓸데없는 컬렉션 기능..,0개,2020. 5. 9.
사과주스,그냥 웨일 씁니다.,0개,2020. 5. 9.
youngiyoo,마소의 브라우저  재 도전기ㅋ  마소의 브로우저는 이미지가 어낙에 않좋아서 크롬의 명성을 넘기는 힘든게 사실,0개,2020. 5. 9.
heeeokyang,구 버전에  있는 스크린 캡쳐기능과 펜 사용기능은 없어진건가요....,2개,2020. 5. 9.
Sopiro,마소가 github인수하고부터 오픈소스에 대한 자세가 달라진거같네요,3개,2020. 5. 9.
BravoMyLife13,"버리고 갔다고 해서 기대했는데, 뭐 그렇게 특출난 건 없는 것 같군요.",0개,2020. 5. 9.
anonymous,크롬 기반은 역시 웨일 수많은 기능때문에  버릴수 없음,0개,2020. 5. 9.
정승현,엣지 페이지에서  게임 실행 안되던데 그래서 그냥 익스플라우저 11 썼는대 뉴엣지는 어떤가요?,0개,2020. 5. 9.
윤용기,저는 넷플릭스 fhd 때문에 쓰는데,0개,2020. 5. 9.
유리형Naver,"윈 10으로 갈아타다보니 호기심에 갈아탄 엣지.
(나는 익플 유져)애시당초 크롬을 대중들이 찬양질하다보니 한동안 쓰긴썼는데 왤케 램을 잡아먹고 최근엔 랙정지터지는지 의문였음.
지금 엣지 유져로써 아주 특별함도 없지만 티도 안나는 점이 맘에 듭니다.",0개,2020. 5. 9.
기계의노래,크롬 익스텐션 사용 가능하면 좋을텐데요,0개,2020. 5. 9.
Jin,"다음카페는 오류가 많더라구요 그래서 크롬으로 돌아옴
다음 일안하나봄",0개,2020. 5. 9.
psgmarlboro,콜렉션 진짜 갠찮은거같네 크롬으로 동기화가 다 돼있어서 귀찮은게 문제 ㅜㅜ,0개,2020. 5. 9.
ANI,크롬 처럼 사용자 추가 기능 있나요?,0개,2020. 5. 9.
마벨링,이 영상보고 윈도우초기화 하면서 한번 써보려고 했는데 다운로드만.. 30분이 넘게 걸리네요 ㅎ 15분 넘게 기달렸는데 도중에 오류나면서 업데이트 실패하고.. 결국 다시 크롬으로 감..,0개,2020. 5. 9.
