닉네임,댓글,좋아요수,날짜
뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣뛣,"무사히 닦았을 때:MR형의 돈이 잡힌다
떨어졌을 때:유튭각이 잡힌다",1개,2020. 5. 31.
mhseo,귀엽네요ㅋㅋㅋㅋㅋㅋ아장아장,1개,2020. 5. 31.
이인호,와ㅋㅋ 진짜 신기하네요ㅋㅋ,1개,2020. 5. 31.
Gaiwuz가이워즈,"MR님 멋지네요 여러분 MR님.....





영상에 빠져보실?",2개,2020. 5. 31.
LG모바일,이건 되게 신박한데 ㅋㅋㅋㅋㅌㅋ,1개,2020. 5. 31.
Limeunsu,요즘 영상을 많으 올려주셔서 너무 좋아요 ㅠㅠ 잘 보고 있씀당,1개,2020. 5. 31.
JasonHwang,"영상 촬영할 때 옆에 꼭 휴대폰 놓잖아요.
너무 간지나요.ㅠㅠ",1개,2020. 5. 31.
이현규,더러운 창 보는게 참 거시기했는데 유용하게 사용할 수 있겠네요. 좋은 정보 감사합니다~^^,2개,2020. 5. 31.
너의아저씨,관심 가지고 보던 상품인데 리뷰가 올라 왔네요..켜 놓고 다른 일을 하면 내 시간도 절약 될 것이란 생각이 들어 관심을 가졌는데 사용빈도가 얼마 안 될 것 같아 망설이게 되는 제품입니다,1개,2020. 5. 31.
JasonHwang,It's amazing.,1개,2020. 5. 31.
weirdsound1,최근에 나온 스마트폰 리뷰 보다 더 재미 있었습니다. ㅋㅋㅋ,1개,2020. 5. 31.
ms,이 형은 항상 에너지가 넘쳐서 좋다.,2개,2020. 5. 31.
이거보여주려고어그로끌었다,진짜 자석으로된 창문닦는거 사봤는데 진짜 ㅈㄴ힘든데 자동으로 닦아준다니 신박하네,1개,2020. 5. 31.
김도희,자~~따라오시죠 가 느려졌다요ㅋㅋㅋ,1개,2020. 5. 31.
발리코,현 시대에 미세먼지에 찌든 창문을 청소할 수 있는 제품이군요ㅋㅋㅋ 진짜 신박하네요,1개,2020. 5. 31.
장영서,"우와.. 진짜 신기하네요👍👍
한번 사용해보고 싶어요ㅎㅎ",1개,2020. 5. 31.
92GiHoonM,떨어질때 로프가 있어도 심쿵 할듯 ㅎㄷㄷ,1개,2020. 5. 31.
김성년,형 요즘 영상 자주 올려줘서 너무 고마워🙂,1개,2020. 5. 31.
하요,"앞동에서 보면 순간 놀라겠네요..ㅋㅋ
그래도 완전 신박템",1개,2020. 5. 31.
장세인,비행기 창문에 달아놓고 출발한 뒤 상공 7000m에서 청소해주세요,1개,2020. 5. 31.
엄형준,엠알님 삼성키보드 위에 이상한 이모티콘 아이콘 없에는법 없나요?,1개,2020. 5. 31.
베린이,0:00 오늘도 욕하는 엠알님,1개,2020. 5. 31.
skytree하늘나무,좋은 정보 보고 갑니다 ^^,1개,2020. 5. 31.
윤준하,"이거 궁금했는데 올려주셨네요ㅎㅎ

움직이는거 좀 귀엽ㅋㅋㅋㅋ",0개,2020. 5. 31.
0309용용이,거울도 엄청 깨끗해보이네요....꼭 사겠슴다!!엠알님 화이팅하세여~♡,1개,2020. 5. 31.
신짜옹이다,"어후..무서워요ㅠㅠ 밖으로 손내밀다 떨어뜨리면...😱
그래도 뭔가 귀엽고 써보고싶네요 베란다 유리창 밖에 닦고싶은충동이 매일...😥
근데 각도때문일까요? 엠알님 통통해보이심..ㅋ🥴",0개,2020. 5. 31.
혐성,알리발 물건은 참 신기한게 많아요 ㅋㅋㅋㅋㅋ 저도 가끔 신기해보이는건 지르는데 저건 참 신박하네요,2개,2020. 5. 31.
반21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ어항에 있는 조개같애,1개,2020. 5. 31.
