comment,noun,adj,verb
세로로 찍는 영상 넘 좋아여 !! 영상 잘보고 갑니다 ~~🤍❤️,"['세로', '영상', '영상']",['좋다'],"['찍다', '넘다', '보다', '가다']"
헐 라방에서 누가 새내기 메이크업 해달라 했던거 같은데 피드백 대박 언니 채고👍🏻👀,"['방', '누가', '새내기', '메이크업', '피드백', '대박', '언니']",['같다'],"['헐다', '해달라다', '하다', '채다']"
This makeup look is soo pretty I’ll definitely try to recreate it 😻,[],[],[]
Omg can we get a hair tutorial? Your short wavy hair looks so good,[],[],[]
아ㅠㅜㅠ완전 바른연애길잡이 바름이가 튀어나온것만 같아..💜,"['완전', '연애', '길잡이', '바름']",['같다'],['튀어나오다']
만화 속 고등학생 캐릭터같아요!!ㅎㅎ,"['만화', '속', '고등학생', '캐릭터']",['같다'],[]
"당신 왜 자꾸 똑같은 티만 입고 다니는거야 

큐티 프리티 써니러뷰티❤️","['당신', '자꾸', '티', '큐티', '프리', '티', '뷰티']",['똑같다'],"['입다', '다니다', '써다']"
진짜 너무 이뻐요ㅜㅜㅜㅜ 영상 많이 올려줘서 감사합니다ㅠㅠㅠ 행복하다ㅠㅠ,"['진짜', '영상']","['이쁘다', '행복하다']","['올려주다', '감사하다']"
Sunny you looked really cute when focusing on putting your lip stain on 🤣💖,[],[],[]
언니 그걸 알아요? 아침에 버스에 타서 ‘두명이요’라고 말했어요 근데 기사님이 혼자탔는데 왜 두명이냐고 하는거에여 그래서 말했죠 ‘제 가슴속엔 써니라는 사람이 한명 더 있거든요’ 추운 아침이었지만 나의 뜨거운 가슴으로 버스 안을 훈훈하게 데웠던 순간이었어여💜💜,"['언니', '아침', '버스', '명', '말', '기사', '혼자', '명', '고', '말', '가슴속', '써니', '사람', '명', '아침', '가슴', '버스', '순간']","['있다', '뜨겁다', '훈훈하다']","['알다', '타다', '하다', '타다', '하다', '하다', '추다', '이다', '데우다', '이다']"
ㄹㅇ 이번 영상 완전 리즈에여 너무 예뻐요ㅜㅜㅠㅠㅜㅠㅜㅠㅜㅠ 그 화장만 하고 다녀주세요ㅜㅠㅜㅠㅜㅠㅜ,"['이번', '영상', '완전', '리즈', '화장']",['예쁘다'],"['하다', '다니다']"
예쁜얼굴을 이렇게 크게 볼 수 있다니..햄보켕💜💜,"['얼굴', '크게', '볼', '햄보켕']","['예쁘다', '있다']",[]
"세로캠 너무 좋음..💖
쉽게 화장하는 것처럼 보이지만 메이크업 스킬,디테일적으로 꼼꼼+완성도 대박😃👍
(언뜻언뜻 아이즈원 안유진양 느낌쓰🧡)","['세로', '캠', '화장', '보이', '메이크업', '스킬', '디테', '적', '완성', '대박', '아이즈', '안유진', '느낌']",['좋다'],"['쉬다', '하다', '쓰다']"
하루하루 볼때마다 예뻐지는 울 언니ㅜㅜ 영상 하도 돌려봐서 이제 언니 멘트까지 다 외워버렸어요ㅠㅠ🥰😆❤️,"['하루하루', '볼때', '울', '언니', '영상', '이제', '언니', '멘트']",['예쁘다'],"['하다', '돌리다', '보다', '외우다', '버리다']"
펄섀도우 정보좀ㅠㅠㅠ,"['펄', '섀도우', '정보']",[],[]
진짜...너무 예뻐 써니...볼때마다 짜릿해....예쁜 게 최고야!!!!🌞🌞🌞🌞🌞🌞,"['진짜', '써니', '볼때', '게', '최고']","['예쁘다', '짜릿하다', '예쁘다']",[]
"어디선가 중국 배우 심월이 보여요 🤭❗️
이목구비 넘나 이쁜 써니님 😭💓  이번 메이크업도 역시 찰떡이네요 . 언제나 응원할게요 화이팅 🌸✨","['어디', '선', '중국', '배우', '심월', '이목구비', '써니', '이번', '메이크업', '역시', '찰떡', '응원', '화이팅']",['이쁘다'],"['보이다', '넘다', '하다']"
제가 인스타를 안 해서 그런데 써니니무인스타에도 피드 올라오나요...? 전영상들에도 써니님 종종 개인적으로 안 좋았다는 말을 들었어서... 앞으로 유툽 자주 업로드 하겠다는 말 뒤로 하나 올리고 소식이 없으신데...진짜 걱정...뭔가 안 좋은일 있나.. 나쁜생각하나 이런 생각들이 드네요... 별일 없었으면 좋겠어요,"['인스타', '써니', '무인', '스타', '피드', '영상', '써니', '종종', '개인', '말', '유툽', '자주', '업로드', '말', '뒤', '하나', '소식', '데', '진짜', '걱정', '뭔가', '생각', '생각', '드네', '별일']","['좋다', '없다', '좋다', '있다', '나쁘다', '이렇다', '없다', '좋다']","['하다', '올라오다', '들다', '하다', '올리다']"
써니님!! 이번 화장도 너무 찰떡이에요 ㅠㅠㅠㅠ 🥰 새내기는 아니지만 요번 메이크업을 데일리로 잘 활용해서 다녀볼려구용 ㅎㅎ 유용한 영상 감사해요💕💕,"['써니', '이번', '화장', '찰떡', '새내기', '메이크업', '데', '일리', '활용', '영상']","['아니다', '유용하다']","['자다', '하다', '다니다', '보다', '감사하다']"
잔머리 완전 애긔같아여ㅠㅠㅠㅠㅠ귀엽,"['잔', '머리', '완전', '애긔같아']",['귀엽다'],[]
와 역대급 진짜 너무예뻐요ㅠㅠㅠ,"['역대', '진짜']",['예쁘다'],['오다']
"에뛰드 애교살, 펄섀도 정보좀요ㅠㅠㅠㅠ","['에뛰드', '애교살', '펄', '섀도', '정보']",[],[]
"써니님❗️ 제가 원래 뷰티유튜버를 잘 안보는 편인데, 요즘 인스타 시작하고 저도 모르게 써니님과 공감대를 쌓게 되면서 여전히 메이크업 영상은 관심이 크진 않지만, 써니님의 일상을 조금 염탐(?)하게 된것 같아요ㅎ
2019년은 써니님께 행복했을지, 잘 모르겠지만 2020년은 어느 해보다 행복하길 바랍니다💪
—나이도 비슷하고, 옵치리그도 좋아하고, 열심히 살고 싶은 한 청자가☺️—","['써니', '원래', '뷰티유튜버', '안보', '편', '요즘', '인스타', '시작', '써니', '공감', '메이크업', '영상', '관심', '써니', '일상', '조금', '염탐', '써니', '나이', '리그', '살', '청자']","['여전하다', '같다', '행복하다', '행복하다', '비슷하다', '좋아하다']","['자다', '모르다', '쌓다', '되다', '크다', '않다', '하다', '되다', '자다', '모르다', '해보다', '바라다', '오다', '싶다', '하다']"
"진짜 이 메이크업 너무 이쁘고 마음에 들어요 ㅠㅠ 몇번을 돌려본 지 모르겠어요 ,, 학생인 저는 이 메이크업 못 따라합니댜 .... 로드샵으로도 만들어쥬세요 엉엉 ( ˃̣̣̣̣o˂̣̣̣̣ )","['진짜', '메이크업', '마음', '몇번', '학생', '메이크업', '못', '합', '댜', '로드', '엉엉']",['이쁘다'],"['들다', '돌리다', '보다', '지다', '모르다', '따르다', '만들다']"
hi sunny! i’ve recently gotten short hair and i don’t feel great in it.. could you make a tutorial on how you style your short hair so i can work it like you do? 💖,[],[],[]
언니 오늘도 너무 예뻐요ㅜㅜㅜ 영상 잘 보고 가요!,"['언니', '오늘', '영상', '보고', '가요']",['예쁘다'],['자다']
ㅋㅋㅋㅋ아니 언니 언니 영상거의 메이크업이 진한편인제 연하게 하니까 왜케 어색한 거 같죠?? 이런 영상 자주 올려주세요 좀 익숙해져야 겠어요.,"['언니', '언니', '영상', '거의', '메이크업', '진', '한편', '인제', '영상', '자주']","['아니다', '연하다', '어색하다', '같다', '이렇다']","['하다', '올려주다', '익숙해지다', '겠다']"
헐단발미쳣어요 진짜 완전 찰떡이에요 넘예뻐유ㅠㅠㅠ🧡🧡,"['단발', '진짜', '완전', '찰떡', '뻥']",['미치다'],"['헐다', '넘다']"
ㅠㅅㅠ 이언니 안어울리는게 모야.... 언니.. 오마이걸 아린 커버 메이크업 해볼 생각 없으신가 hoxy.. 언니의 금손이라면 가능할까 hoxy..? 사랑해요 써니님🔥❤️,"['이언', '모야', '언니', '마이걸', '커버', '메이크업', '생각', '신가', '언니', '금손', '라면', '사랑', '써니']","['아리다', '없다', '가능하다']","['어울리다', '해보다', '하다']"
퀄리티가 미쳤어요 메이크업도 영상도..... 써니님이 너무 좋아요,"['퀄리티', '메이크업', '영상', '써니']","['미치다', '좋다']",[]
요즘 제 생일인가요...🎂💕 써니님 넘나 선물스러운 것ㅠㅠ💗💗💗,"['요즘', '생일', '써니', '선물']",[],['넘다']
