comment,noun,adj,verb
저도 네일리스튼데...ㅋㅋㅋㅋ 진짜 신박하다ㅋㅋㅋ 이걸 이렇게 쓴다고? 대박이다ㅋㅋ,"['네일리스트', '진짜', '박하', '걸', '대박']",[],['쓴다']
언니 한번도 생각못해봤는데 진짜 기상천외해 짜릿해 체고야 진짜 짜미언니 체고!!!,"['언니', '한번', '생각', '진짜', '기상', '외해', '체고', '진짜', '짜미', '체고']",['짜릿하다'],['해봤다']
헉...진짜 대박대박 손톱 연장하고 싶은 학생 쨔식도 해봐야 게 써요!!,"['진짜', '대박', '대박', '손톱', '연장', '학생', '쨔식', '게']",[],"['싶다', '해보다', '써다']"
언니 진짜 대박이에요ㅠㅠㅠㅠ 손톱 기르기도 힘든데 연장할 필요도 없이 기분 낼 수 있어서 최고에요!!!!,"['언니', '진짜', '대박', '손톱', '기도', '연장', '필요', '기분', '낼', '최고']","['힘드다', '있다']","['기르다', '하다']"
언니 네일 진짜 잘하세요ㅠㅠㅠ,"['언니', '네일', '진짜']",[],['하다']
"이 언니는 손도 개이뿌다ㅏ,,
언니 진짜 내 스퇄 이예융ㅜㅠ
텐션도 하늘을 찌르고ㅜ 사랑함니도❤","['언니', '손', '개', '언니', '진짜', '스퇄', '융', '텐션', '하늘', '사랑']",['예쁘다'],"['찌르다', '하다']"
"헐 꼭 따라해볼게요 ㅠㅜㅜㅠ
드디어!! 셀럽손톱 ❤","['꼭', '셀럽', '손톱']",[],"['헐다', '따르다', '해보다']"
"셀프네일 샵 드릴까지 전부 갖춰놓고 하는 사람인데여..
오호라 한번쓰고 현타왔네요
 장비 다 버릴 각","['셀프', '네일', '샵', '드릴', '전부', '사람', '호', '한번', '타', '장비']",[],"['갖추다', '하다', '쓰다', '오다', '버리다']"
와.. 언니 이건 아무도 생각못했을꺼야 ㅜㅜ대박 ..,"['언니', '아무', '생각', '대박']",[],"['오다', '하다']"
"웃는 얼굴이 너무 이뻐여,,ㅜㅜ 앞으로도 항상 행복했으면 좋겠어요!","['얼굴', '항상']","['이쁘다', '행복하다', '좋다']",['웃다']
와.진짜.최고에욬ㅋㅋㅋㅋ어케생각하셧는지 신기방기🙃,"['진짜', '최고', '생각', '셧', '신기', '방기']",['어떻다'],"['오다', '늘다']"
"헐.. 울쨔미 언니는 손도 어찌 그리 이쁠까❤️❤️
이번 영상도 고생하셨어요!! 🙌  글구 내가 언니 항상 쨔랑하는거 RG?😍😍","['울쨔미', '언니', '손', '어찌', '이번', '영상', '고생', '글구', '언니', '항상', '쨔']",['이쁘다'],"['헐다', '그리다', '하다', '하다']"
오아 대박ㅋㅋㅋㅋ아이디어 귯👏아 그리구 그 엄지검지에 살짝 유수분기 제거하고 하시면 더 완벽하게 하실 수 있을 거에용!!,"['대박', '아이디어', '귯', '엄지', '검지', '살짝', '유수', '분기', '제거']","['완벽하다', '있다']","['오다', '그리다', '하다', '하다']"
우왕 언니 손톱 완전이뿌당 ㅠㅠ언닝 글구 다이소 화장품 신제품 나왔어용 리뷰 부탁해용!!!ㅠㅠ,"['우왕', '언니', '손톱', '완전', '언닝', '글구', '다이소', '화장품', '신제품', '리뷰', '부탁']",['예쁘다'],"['나오다', '하다']"
짜미언니 처음부터 태션보소 ㅋㅋㅋㅋ 동네사람들!! 짬언니 흥좀  보고가여!!,"['짜미', '처음', '태션', '사람', '짬', '흥좀']",[],"['보다', '보다']"
저도 젤네일샵에  가서 매일하는 데 손톱볼때마다 너무 좋아용,"['젤', '네일', '매일', '데', '손톱', '볼때']",['좋다'],"['가다', '하다']"
전부터 생각만해본건데ㅋㅋ진짜되네...?,"['생각', '진짜']",[],"['해보다', '되다']"
진짜 똑똑하다 ㅋㅋㅋㅋㅋㅋ 저 진짜 혼자네일하면 엄청 오래걸렷는데..이건..우와.....ㅋㅋㅋ대박이에요,"['진짜', '진짜', '혼자', '네일', '걸렷', '대박']",['똑똑하다'],['늘다']
쨔미언니 손재주 종말 짱이야..💜,"['쨔미언', '손재주', '종말', '짱']",[],[]
헐....ㅠㅠㅠㅠㅠㅠ대박 예뻐요ㅠㅠㅠㅠ,['대박'],['예쁘다'],['헐다']
와 진짜 천재... 손이 못난 손이라 붙이는 네일은 쳐다보지도 않았는데 오호라 네일이 너무 이뻐서 들어가 보니까 스티커 형태길래 안 샀는데... 언니 진짜 천재ㅠㅠㅠ 빨리 사서 해봐야 겠어요!!🥰🙊,"['진짜', '천재', '손', '못', '손', '네일', '호', '네일', '보', '스티커', '형태', '길', '언니', '진짜', '천재', '사서']",['이쁘다'],"['오다', '붙이다', '쳐다보다', '않다', '들어가다', '사다', '해보다', '겠다']"
쨔미 언니 손톧 너무 예뻐여ㅕ❤❤,"['쨔미', '언니', '손톧']",['예쁘다'],[]
와....오호라 뭐해 얼른 양팔벌려 땡큐해야지 ㅠㅠㅠㅠ,"['호', '얼른', '양팔', '땡큐']",[],"['오다', '하다', '벌리다', '하다']"
언니 영상 항상 기다리구 있어요ㅠㅠㅠㅠ마니마니 올려주세용ㅠㅠㅠㅠㅠ,"['언니', '영상', '항상']",['있다'],"['기다리다', '올려주다']"
언니 진짜 천재ㅋㅋㅋㅋㅋㅋㅋ 너무 감사해용❤️❤️,"['언니', '진짜', '천재']",[],['감사하다']
