닉네임,댓글,좋아요수,날짜
Gold,번역기가 장문으로도 쓸수있어서 편한것 같습니다.,7개,2020. 5. 11.
큐브,0:01 ㅗㅜㅑ,3개,2020. 5. 11.
나무별,아니 그래서 내 탭s6 라이트는 언제 오는거야ㅠㅜㅠㅜ 살다살다 전자기기 주문하고 이틀 걸리는 줄 알고 기다렸는데 2주 넘게 기다리는건 첨이네,6개,2020. 5. 11.
전현수,썸넬에 왜 자꾸 재용이형 넣엌ㅋㅋ,13개,2020. 5. 11.
패주초,아 이거 진짜 a였구나ㅋㅋㅋㅋㅋ,3개,2020. 5. 11.
배심원,"""ITSub is free""
잇섭은 무료로 해드립니다",2개,2020. 5. 11.
신선해,덕분에 방금 업데이트 했어요ㅋㅋ 아쉬운 부분이 좀 개선돼서 다행,13개,2020. 5. 11.
김고등어,6:30 이재용님이 이 발언을 혐오합니다,2개,2020. 5. 11.
StoneOak,4:41 두둥 등장!    \○/,3개,2020. 5. 11.
김현진,00:07 음메메메메메메 (대충 소가 소리내는 소리),15개,2020. 5. 11.
IkJunChoi,2:50 아아 님은 갔습니다...안녕 벨벳..,1개,2020. 5. 11.
파분TV,형 목소리가 점점 매력적으로 들리고있어,11개,2020. 5. 11.
i불닭이매워,인트로 맛집ㄷ,3개,2020. 5. 11.
셰어링youtube,2:53 life was good...,0개,2020. 5. 11.
강정,Good lock 그만 홍보해ㅠㅠ 나만 쓸 건데ㅠ,2개,2020. 5. 11.
129,형 브금 바꿨더니 신선하네 앞으로도 계속 바꿔줘ㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 11.
김당근,제목 미쳤나밬ㅋㅎㅋㅎㅋㅎㅋㅎ,1개,2020. 5. 11.
NevIT네빗,형 벨벳...  그리고 긱바 AERO노트북.. 제발 ㅠㅠ,2개,2020. 5. 11.
PhilipKim,"인트로 유튜벜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
사랑합니다 잇섭 <3",0개,2020. 5. 11.
우현송,오늘도 인트로 잘보고 갑니다~,3개,2020. 5. 11.
김범수,4:40 ㄷㄷㄷㅈ,1개,2020. 5. 11.
Uj4867,"0:07 러시아어 무엇ㅋㅋ
Ты черная корова",0개,2020. 5. 11.
작작질러,"라이트 발음 특이한거보소ㅋㅋㅋㅋㅋ
롸↘이↗트",1개,2020. 5. 11.
mason0713h마손,와! 두두두장! 하시는구나~~,2개,2020. 5. 11.
박희용,이제 진짜 가성비 태블릿이라 볼 수 있을 것 같네요,6개,2020. 5. 11.
바다고기,내 노트8에는 노크온 기능이 없는데 ㅋㅋㅋ,2개,2020. 5. 11.
보민,암소 미친ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
짱동혁,"00:07""검은 암소""",1개,2020. 5. 11.
이거노,제목 뭔뎈ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
000,A 8.0 에서는 번역기 없음ㅠㅠㅠ,0개,2020. 5. 11.
damagesTaking,"오늘올렸는데 오늘 영상이 ㄷㄷㄷ...
글고 잇섭님 기기당 2영상은 기본적으로 뽑이주십쇼",0개,2020. 5. 11.
한나무,07:12 좋은 좌물쇠ㅋㅋ,6개,2020. 5. 11.
구민형,영상 제목 레전드네 ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
CarePackage,저것때문에 s6로 일주일 전에 산건데ㅠㅠㅠㅠㅠㅠㅠ 업뎃이 되버렸네....,0개,2020. 5. 11.
박태연,ㅋㅋㅋㅋ썸네일 미쳤냐곸ㅋㅋㅋ,0개,2020. 5. 11.
고태경,오픈마켓으로 시켰는데 너무 느려요ㅠㅠ 배송이 2주~1달 걸린데요ㅠㅠ 이 문제에 대해 고객센터 이메일 문의로 프로모션 혜택 기간 늘려주었으면 좋겠다고 남겨뒀네요 ㅠㅠ,0개,2020. 5. 11.
구름달이,"사실 6세대 아이패드 쓰다가 S펜보고 반해서 그자리에서 즉시 사전예약 때려박은건데,

노크온 없는거보고 충격이였네요.
이제야 업뎃 해주니 잘쓸듯...

저는 넷플 유튜브 필기용으로 구매했는데 버벅이는건 안드os자체가 그런거라 걍 그러려니 씁니다.",1개,2020. 5. 11.
콩순이,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ노크온생겼다!!!!!!!🙊
어휴진짜 그동안 까만화면 얼마나두드렸는지!!",0개,2020. 5. 11.
,암소ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
AucklandNewZealand,패드는 애플 이지. ㅋㅋㅋ,1개,2020. 5. 11.
국뽕님,3:44 공부rㄹ를~,0개,2020. 5. 11.
김이레,3:54 가이아시 GAIAXY,1개,2020. 5. 11.
TV늘애,ㅋㄱㅋㄱㅋㄱ인트로 ㅋㅋㅋㅋ,0개,2020. 5. 11.
빡대가리,썸넬 밑에 이재용뭐얔ㅋㅋㅋ,0개,2020. 5. 11.
Korea001,"형 나 갤럭시 탭 3 8.0 있어 ㅋㅋㅋㅋ
2013년도껀데 lcd라 그런지 부분적으로만 밝아 ㅠㅠ",1개,2020. 5. 11.
동탄치과틀니도둑엄준식,해외 사이트 들어갈 때는 크롬으로 들어가는거 국룰인데;;;,1개,2020. 5. 11.
신유진,좋은 자물쇠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
만능박사만박사,6:23 이번 동영상의 팩트이며 저의 흔들리는 마음을 진정시켜주셔서 감사합니다 ㅠㅠ...,0개,2020. 5. 11.
알겟쏘,삼성이 잇섭 피드백 다 고려해주네 ㅋㅋㅋㅋㅋ,1개,2020. 5. 11.
EnRyu,해석:흑우쉑ㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
JoonyupKim,흑암우ㅋㅋㅋㅋ,0개,2020. 5. 11.
장지혁,오늘 썸네일 ㅋㅋ,0개,2020. 5. 11.
워니조미,살까 말까 하다 저번 영상 보고 그냥 안 샀는데 업데이트 보고 고민되네요 ㅠㅠㅠㅠ,7개,2020. 5. 11.
김홍욱,인트로에 거짓말 실화ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
XTORY,갤럭시S9 유저인데요ㅎㅎㅎ 안그래도 ONE UI 2.1 영상보고 아쉽다라는 생각들었는데  잇섭님 덕분에 새롭게 ONE UI 2.1 업뎃 소식을 알게 되어서 기쁘네요^^,0개,2020. 5. 11.
헛소리하지마임마,ㅋㅋㅋㅋㅋ 인트로 뭐양ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
한을,제목 바꿨네ㅋㅋㅋㅋ,0개,2020. 5. 11.
유레카,노트 10+에서 번역기능 과제할때 잘 씀ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
유튜브계정,암소 개미쳐낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,24개,2020. 5. 11.
쿠쿠,"이 it 남은 무료로 해줍니다 !
>> 바로가기 <<  기다리고 있읍니다 !",2개,2020. 5. 11.
summersky,진작 넣어주지 그랬니 노크온 돌아온건 너무좋고,2개,2020. 5. 11.
PaulChung,와우 월드스타...아니 월드흑우 잇섭님...ㅋㅋㅋ,0개,2020. 5. 11.
김하준,헤이! 헤이유! 이아~ 유~,1개,2020. 5. 11.
강원규,"4:02
ㄷㄷㄷㅈ!",0개,2020. 5. 11.
HMLee,삼성 업계포상 ㄹㅈㄷ,1개,2020. 5. 11.
aast2400,ㅋㅋㅋㅋㅋㅋㅋㅋ익숙한 문구,0개,2020. 5. 11.
둥둥이,"감사해요 ㅠ  업데이트 지금 하는중 ㅋㅋㅋ 감사
삼성 처음쓰는데 유용하게 쓰는 방법 나중에 또 올려주세요",0개,2020. 5. 11.
강한용사,크 삼성피드백수준 존경합니다,21개,2020. 5. 11.
EatSubApplicant잇섭형의신청자,"잇섭형..
샤벳트 울트라 12 언뽝싱
잇섭 QnA
신청할께!",1개,2020. 5. 11.
JuhyukMin,인트로보러 들어온다 ㅋㅋㅋ,0개,2020. 5. 11.
장동화,첨부터 이러지 ㅇㅅㅇ,1개,2020. 5. 11.
모지또팤훟,"A51 영상인줄 알고 설렜잖아요...
기다리고 있었는데ㅜㅜㅜㅜㅜ",0개,2020. 5. 11.
태우sub1,"1:34
노ㅋ온... ㅗㅜㅑ",0개,2020. 5. 11.
Hj,제목 ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
박정훈,혹시 s6 lite s펜 다른 탭(예를 들어 갤럭시 탭 8.0 with spen) 모델에서도 사용할 수 있나요...??,0개,2020. 5. 11.
ARMY설탕바라기,출시때 너무 좋아서 품귀현상 생길까봐 약간 떨구고 들어간건가,1개,2020. 5. 11.
노란딱지,닉값하네 욕하면 무료로 해준다니... 여윽시 S전자...;;  ㅗㅜㅑ,3개,2020. 5. 11.
채승헌,제목 뭔데 ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
흰글씨,ㅋㅋㅋㅋ,2개,2020. 5. 11.
,삼성 : 하악...좋아..더 욕해줘..ㅇ어.ㅎㅎㅎㅎ,0개,2020. 5. 11.
문호,4:02 ㄷㄷㄷㅈ!,0개,2020. 5. 11.
MeriL,삼성의 M속성 ㄷㄷㄷㅈ!,0개,2020. 5. 11.
이롱,잇섭님 아이패드랑 삼성탭이랑 비교해주세요ㅠㅜㅜ,0개,2020. 5. 11.
단,"욕 쳐먹으니까 업뎃해주는 거 진짜 킹받는다 ㅋㅋㅋㅋㅋㅋㅋ 이러니 다들 테블릿은 믿고 거른 후 아이패드로 사나....






비효과 Rain Effect",0개,2020. 5. 11.
무도사,맥북에어 리뷰 좀여............ㅠㅠㅠㅠㅠㅠ,0개,2020. 5. 11.
