닉네임,댓글,좋아요수,날짜
자몽s,"안녕 하세여 서울리안님
늘 좋은 영상 감사합니다
잘 보고 있어요
코로나 때문에
나라가 들썩여서
비록 나가지는 못해도
덕분에 즐겁네요
항상 건강하세요!",0개,2020. 6. 1.
성우,저도 ㅜㅜ 맥북프로 2018 나비 식 쓰고 있는데 엄청 좋아보이네요.. 좀만 기다릴껄 ... 괜히 나비 식으로 샀엄....,0개,2020. 6. 1.
MyLife,"나비~~ 
언제나 번뜩이는 재치와 귀여움으로 
좋은 정보 주셔서 감사합니다^^
계속 화이팅!!!",0개,2020. 6. 1.
라온하제,와 정말 신박한 키보드네요ㅎㅎ 관심이 가는데 아직 오픈이 안된것 같네요? 얼마나 비싸려나...??,0개,2020. 6. 1.
김영우,"나, '비' 효과",1개,2020. 6. 1.
스튜디오바코드STUDIOBACODE,나비게이션 찍고 집으로가야겠네요 ㅋㅋㅋㅋ,1개,2020. 6. 1.
최영환,"역시..나비는 ㅠㅠ 
나비야~~~ 나의 비상금을 채워줘~~~~",0개,2020. 6. 1.
sukhongyoun,나비야~``야옹 ㅋㅋ,0개,2020. 6. 1.
BOK,나비 벗어나서 너무 좋다,0개,2020. 6. 1.
당구왕김공익,나비식 키보드 이제 그만 쓰고 싶어요 ㅠㅠ 하지만 나비 상금 걸려서 키보드 살 돈이 없어요...,0개,2020. 6. 1.
사아칸,맥북프로 겁나 비싼 주제에 키보드는 진짜... ㅠㅠ 일단 백축이란 놈도 궁금하고.. 신기하네요. +_+,0개,2020. 6. 1.
신호영,마침 키보드 알아보고 있었는데 참 탐이나비네요 ㅋㅋ~,0개,2020. 6. 1.
jjanggu짱구,"나 이거 되게 갖고싶어진다..... 근데,,,
비 싸겠지..? ㅜㅜㅜ",0개,2020. 6. 1.
MarshmallowMintflavored,지옥같은 나비식 키보드ㅎㅎ,1개,2020. 6. 1.
KnifeD,이게 정말 가능하나? 비교되게 영상 잘 봤습니다~,0개,2020. 6. 1.
한성민,저 오늘 생일인데 ㅠㅠ 너무 가지고 싶네요 ㅠㅠ 겁 나비 참한 인생 ㅠㅠ 생일선물 받고싶슴다 ㅠㅠㅠ,0개,2020. 6. 1.
휘리릭,음...언제나 좋은 정보 너무너무 좋아요❤️❤️ 나비처럼 우아한 미모가 언제나 설레게 합니다. 감사합니다,0개,2020. 6. 1.
JonJeon,ㅋㅋㅋ 나비식 키보드는 싫은데 서울리안님은 나비보다 예뻐요!! 영상 감사합니다 끝까지 재밌어용,0개,2020. 6. 1.
김수민,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인트로 꿀잼이네요,0개,2020. 6. 1.
김영인,나비식은 영~~~ ㅋㅋㅋㅋ,0개,2020. 6. 1.
조명환,서울리안 님 영상을 보기위해 언제 나비 워 둔 내시간 ㅎㅎ,1개,2020. 6. 1.
애플조아,영상보고 구매하러 고고 butterfly  처럼 휠휠 날아서 ㅋㅋ,0개,2020. 6. 1.
박언예담,센스 있는 댓글들 진짜 많네요. 나비보벳따우 보고 엄청 웃었어요 ㅋㅋㅋㅋㅋ,0개,2020. 6. 1.
ilhan,"나 도저히 못참겠어요...사고야말겠어ㅋㅋㅋ 엄마에게는 
비!밀! 알죠? 근데 갈축 정말 탐나네요~ 서울리안님 영상잘봤습니다~",0개,2020. 6. 1.
이샹,언제나 비교불가 IT유튜버 : 서울리안ㅎㅅㅎ,0개,2020. 6. 1.
YongchulOh,나비 ㅋㅋㅋ,0개,2020. 6. 1.
안현용,개학했는데 학교에 나비그림 생김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 6. 1.
파인애플피자,2:17 ㅗ____ㅗ,1개,2020. 6. 1.
Hellparty,맥북의 나비효과로 기계식 키보드 판매율을 올리는군요ㅋㅋ,1개,2020. 6. 1.
ODOE,처음에 인트로 나 비슷해 ㅋㅋ키보드 디게 신박하다 ㅎ 거치대도 너무 이뻐요,0개,2020. 6. 1.
지식쇼핑,올~~ 진짜 나비식 키보드 때문에 미치겠어요~ >_<;;;,0개,2020. 6. 1.
장현준,봄철인데 요즘 나비가 안보이네요 ㅠㅠㅠ나비가 보고싶어요 나비야~~🥺🥺🥺,0개,2020. 6. 1.
임인화,"와우! 키감 실화나 비추천 누르게 하는 나비식
대체할 훌륭한 키보드인듯
나비식 안녕이나비",0개,2020. 6. 1.
박재원,오늘도 귀여워요 ㅎㅎ 맥프로 써보고 싶은데 언제쯤써보나비싸잖아요 ㅠㅠ,1개,2020. 6. 1.
고미고미,나 비를 너무 좋아해~~,0개,2020. 6. 1.
EungangChoi,저 키보드는 얼마나 비쌀지 궁금하네요😂 좋은 영상 감사합니다,0개,2020. 6. 1.
EdwardYang,요즘 인트로 뭔가 어색하면서 중독성이 강해요 ㅋㅋㅋ인트로 중독성은 뭐다 ? 말하나마나 비의 1일 7깡과 같다~😂😂,6개,2020. 6. 1.
고등수학풀어주는남자Feat피큐브,나비 정말 귀엽네^^,0개,2020. 6. 1.
장원익,눈에 띄는 댓글 달고 싶어도 잘 안되네요 ㅋㅋㅋ 머리가 나빠졌나 비참하네🥺,0개,2020. 6. 1.
hEyChris,킄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연기리언,0개,2020. 6. 1.
YosephHong,나비야 나비야 이리날아왔다가 가라..ㅋㅋㅋ,0개,2020. 6. 1.
레푸리,서울리안님 나 비밀하나 있는데요.. 멤브레인 키보드 써요ㅠㅠ,0개,2020. 6. 1.
